,title,date_x_tmdb,score_tmdb,genre_tmdb,overview_tmdb,crew_tmdb,orig_title_tmdb,status_tmdb,orig_lang_tmdb,budget_x_tmdb,revenue_tmdb,country_tmdb,Unnamed: 0_top_1000,overview_top_1000,original_language_top_1000,vote_count_top_1000,vote_average_top_1000
64,House of the Dead 2,02/11/2006 ,47.0,"TV Movie, Horror","In Guesta Verde University, the deranged Professor Curien is trying to bring back the dead, killing students for the experiment. There is an outbreak of zombies in the campus, and the government sends a NSA medical research team, formed by Dr. Alexandra Morgan a.k.a. Nightingale and lieutenant Ellis, with a special force leaded by lieutenant Dalton, trying to get the zero sample from the first generation zombie. The team has a very short time to accomplish their mission and leave the place before missiles are sent to destroy the area. However, the place is crowded of hyper sapiens and the group has to fight to survive.","Emmanuelle Vaugier, Alexandra 'Nightingale' Morgan, Ed Quinn, Ellis, Sticky Fingaz, Dalton, Victoria Pratt, Henson, Theo Rossi, Greg Berlin, Steve Monroe, O'Connor, James Parks, Bart, Dan Southworth, Nakagawa, Billy Brown, Griffin",House of the Dead 2, Released, English,6000000.0,1329068.8,US,5931,"Set on an island off the coast, a techno rave party attracts a diverse group of college coeds and a Coast Guard officer. Soon, they discover that their X-laced escapades are to be interrupted by zombies and monsters that attack them on the ground, from the air, and in the sea, ruled by an evil entity in the House of the Dead... Prequel to the House of the Dead video games.",en,207,2.9
65,Help! I'm a Fish,04/12/2001 ,66.0,"Adventure, Animation, Comedy","Three children accidentally get turned into fish after drinking a potion made by an eccentric scientist. The kids end up in the sea, with one problem. They must find and drink the antidote within 48 hours, or forever remain as fish.","Sebastian Jessen, Svip (voice), Pil Neja, Stella (voice), Morten Kerrn Nielsen, Plum (voice), Søren Sætter-Lassen, Professor Mac Krill (voice), Nis Bank-Mikkelsen, Joe (voice), Dick Kaysø, Shark (voice), Louise Fribo, Sasha (voice), Ulf Pilgaard, Crab (voice), Peter Gantzler, Father (voice)"," Hjælp, jeg er en fisk", Released, Danish,18000000.0,5595327.0,DE,8307,"Three children accidentally get turned into fish after drinking a potion made by an eccentric scientist. The kids end up in the sea, with one problem. They must find and drink the antidote within 48 hours, or forever remain as fish.",da,194,6.5
66,"The Good, the Bad, the Weird",07/16/2008 ,72.0,"Action, Adventure, Comedy, Western","The story of three Korean outlaws in 1930s Manchuria and their dealings with the Japanese army and Chinese and Russian bandits. The Good (a bounty hunter), the Bad (a hitman), and the Weird (a thief) battle the army and the bandits in a race to use a treasure map to uncover the riches of legend.","Song Kang-ho, Yoon Tae-goo / The Weird, Lee Byung-hun, Park Chang-yi / The Bad, Jung Woo-sung, Park Do-won / The Good, Yoon Je-moon, Byung-choon, Song Young-chang, Kim Pan-joo, Lee Chung-ah, Song-yi, Kim Kwang-il, Two Blades, Ma Dong-seok, Bear, Jo Kyeong-hun, Doo-chao"," 좋은 놈, 나쁜 놈, 이상한 놈", Released, Korean,10000000.0,118630661.8,KR,4690,"The story of three Korean outlaws in 1930s Manchuria and their dealings with the Japanese army and Chinese and Russian bandits. The Good (a Bounty hunter), the Bad (a hitman), and the Weird (a thief) battle the army and the bandits in a race to use a treasure map to uncover the riches of legend.",ko,382,7.2
67,An Eye for an Eye,08/14/1981 ,53.0,"Adventure, Action, Crime",Sean Kane is forced to resign from the San Francisco Police Department's Narcotics Division when he goes berserk after his partner is murdered. He decides to fight alone and follows a trail of drug traffickers into unexpected high places.,"Chuck Norris, Sean Kane, Christopher Lee, Morgan Canfield, Richard Roundtree, Capt. Stevens, Matt Clark, Tom McCoy, Mako, James Chan, Maggie Cooper, Heather Sullivan, Rosalind Chao, Linda Chan, Professor Toru Tanaka, The Professor, Stuart Pankin, Nicky LaBelle",An Eye for an Eye, Released, English,3820017.8,7680000.0,US,3415,"Mario, an exemplary man, lives in a village on the Galician coast. In the old people’s home, where he works as a nurse, everyone appreciates him. When the best known narco in the area, Antonio Padín, recently released from prison, enters the residence, Mario tries to make Antonio feel at home.  Now, Padín's two sons, Kike and Toño, are in charge of the family business. The failure of an operation will put Kike in jail and cause them to owe a large debt to a Colombian supplier. Toño will turn to the nurse to try to convince his father to assume the debt. But Mario has his own plans.",es,97,6.6
68,Fate/stay night: Heaven's Feel III. Spring Song,11/19/2020 ,78.0,"Animation, Romance, Fantasy, Action, Drama","As Sakura drowns in the murky darkness of the sins she has committed, Shirou's vow to protect her at all costs leads him into a raging battle to put an end to the Holy Grail War.  Will Shirou's wish reach Sakura even as he challenges fate itself in a desperate battle against the rising tide?","Noriaki Sugiyama, Shirou Emiya (voice), Noriko Shitaya, Sakura Matou (voice), Ayako Kawasumi, Saber Alter (voice), Kana Ueda, Rin Tohsaka (voice), Mai Kadowaki, Illyasviel von Einzbern (voice), Miki Ito, Taiga Fujimura (voice), Jouji Nakata, Kirei Kotomine (voice), Masane Tsukayama, Zouken Matou (voice), Yuu Asakawa, Rider (voice)", 劇場版「Fate/stay night [Heaven’s Feel]」Ⅲ.spring song, Released, Japanese,39461149.2,20150000.0,AU,944,"Theatrical-release adaptation of the visual novel ""Fate/stay night"", following the third and final route. (Final part of a trilogy.)",ja,0,0.0
69,Iron Sky: The Coming Race,09/01/2019 ,51.0,"Action, Comedy, Fantasy, Science Fiction, Adventure","Twenty Nine years after the events of Iron Sky, the former Nazi Moonbase has become the last refuge of mankind. Earth was devastated by a nuclear war, but buried deep under the wasteland lies a power that could save the last of humanity - or destroy it once and for all. An old enemy leads our heroes on an adventure into the Hollow Earth. To save humanity, they must fight the Vril, an ancient shapeshifting reptilian race and their army of dinosaurs.","Lara Rossi, Obianaju 'Obi' Washington, Vladimir Burlakov, Sasha, Kit Dale, Malcom, Julia Dietze, Renate Richter, Stephanie Paul, Vril Sarah Pallin/ Vril President, Tom Green, Donald, Udo Kier, Wolfgang Kortzfleisch, John Flanders, Gary the base commander, James Quinn, Deputy Commander Johan",Iron Sky: The Coming Race, Released, English,21000000.0,400900.0,AU,1517,"Twenty years after the events of Iron Sky, the former Nazi Moonbase has become the last refuge of mankind. Earth was devastated by a nuclear war, but buried deep under the wasteland lies a power that could save the last of humanity - or destroy it once and for all. The truth behind the creation of mankind will be revealed when an old enemy leads our heroes on an adventure into the Hollow Earth. To save humanity they must fight the Vril, an ancient shapeshifting reptilian race and their army of dinosaurs.",en,119,5.1
70,If I Were a Rich Man,11/15/2019 ,60.0,Comedy,"A man which wife is filing to divorce him wins 25 million EUR in the lotto, hiding her to prevent sharing the half of the prize.","Álex García, Santi, Alexandra Jiménez, Maite, Paula Echevarría, Lorena, Adrián Lastra, Marcos, Antonio Resines, Miguel, Diego Martín, Mario, Jordi Sánchez, Damián, Lydia Ramírez, Cristina, Franky Martín, Pedro", Si yo fuera rico, Released," Spanish, Castilian",114200000.0,241031716.6,ES,8272,"A man which wife is filing to divorce him wins 25 million EUR in the lotto, hiding her to prevent sharing the half of the prize.",es,36,6.2
71,In the Heights,06/11/2021 ,73.0,"Drama, Music, Romance","The story of Usnavi, a bodega owner who has mixed feelings about closing his store and retiring to the Dominican Republic or staying in Washington Heights.","Anthony Ramos, Usnavi, Corey Hawkins, Benny, Leslie Grace, Nina Rosario, Melissa Barrera, Vanessa, Olga Merediz, Abuela Claudia, Daphne Rubin-Vega, Daniela, Gregory Diaz IV, Sonny, Marc Anthony, Gapo, Jimmy Smits, Kevin Rosario",In the Heights, Released, English,55000000.0,43646976.0,AU,8887,"A feature version of the Broadway musical, in which a bodega owner has mixed feelings about closing his store and retiring to the Dominican Republic after inheriting his grandmother's fortune.",en,0,0.0
72,A Fall from Grace,01/17/2020 ,71.0,"Drama, Thriller, Mystery","When a law-abiding woman gets indicted for murdering her husband, her lawyer soon realizes that a larger conspiracy may be at work.","Crystal Fox, Grace, Phylicia Rashād, Sarah, Bresha Webb, Jasmine, Mehcad Brooks, Shannon, Cicely Tyson, Alice, Tyler Perry, Rory, Donovan Christie Jr., Donnie, Walter Fauntleroy, Malcolm, Angela Marie Rigsby, Tilsa",A Fall from Grace, Released, English,123600000.0,594185520.2,US,1307,"When a law-abiding woman gets indicted for murdering her husband, her lawyer soon realizes that a larger conspiracy may be at work.",en,360,7.1
73,The Wing or the Thigh?,10/27/1976 ,72.0,Comedy,"Charles Duchemin, a well-known gourmet and publisher of a famous restaurant guide, is waging a war against fast food entrepreneur Tri- catel to save the French art of cooking. After having agreed to appear on a talk show to show his skills in naming food and wine by taste, he is confronted with two disasters: his son wants to become a clown rather than a restaurant tester and he, the famous Charles Duchemin, has lost his taste!","Louis de Funès, Charles Duchemin, Coluche, Gérard Duchemin, Ann Zacharias, Marguerite #2, interim secretary, Julien Guiomar, Jacques Tricatel, Claude Gensac, Marguerite #1, Duchemin's secretary, Georges Chamarat, Dean of Academics, Jean Martin, Doctor, Fernand Guiot, Dubreuil, Duchemin employee, Gérard Boucaron, Ficelle", L'Aile ou la Cuisse, Released, French,82400000.0,400066522.0,FR,5237,"Charles Duchemin, a well-known gourmet and publisher of a famous restaurant guide, is waging a war against fast food entrepreneur Tri- catel to save the French art of cooking. After having agreed to appear on a talk show to show his skills in naming food and wine by taste, he is confronted with two disasters: his son wants to become a clown rather than a restaurant tester and he, the famous Charles Duchemin, has lost his taste!",fr,455,7.2
76,I'm Not There,12/07/2007 ,66.0,"Drama, Music","Six actors portray six personas of music legend Bob Dylan in scenes depicting various stages of his life, chronicling his rise from unknown folksinger to international icon and revealing how Dylan constantly reinvented himself.","Christian Bale, Jack/Pastor John, Cate Blanchett, Jude, Marcus Carl Franklin, Woody, Richard Gere, Billy, Heath Ledger, Robbie, Ben Whishaw, Arthur, Charlotte Gainsbourg, Claire, David Cross, Alan Ginsberg, Bruce Greenwood, Keenan Jones / Garrett",I'm Not There, Released, English,20000000.0,4001121.0,US,3446,"Six actors portray six personas of music legend Bob Dylan in scenes depicting various stages of his life, chronicling his rise from unknown folksinger to international icon and revealing how Dylan constantly reinvented himself.",en,401,6.7
77,About Last Night...,08/14/1986 ,62.0,"Comedy, Drama, Romance","A man and woman meet and try to have a romantic affair, despite their personal problems and the interference of their disapproving friends.","Demi Moore, Debbie, Rob Lowe, Danny Martin, Jim Belushi, Bernie Litgo, Elizabeth Perkins, Joan, George DiCenzo, Mr. Favio, Robin Thomas, Steve Carlson, Donna Gibbons, Alex, Megan Mullally, Pat, Michael Alldredge, Mother Malone",About Last Night..., Released, English,8500000.0,38702310.0,AU,9435,"A modern reimagining of the classic romantic comedy, this contemporary version closely follows new love for two couples as they journey from the bar to the bedroom and are eventually put to the test in the real world.",en,357,6.0
78,Scooby-Doo! Meets the Boo Brothers,10/18/1987 ,73.0,"Animation, Adventure, Comedy, Family, TV Movie, Mystery","When Shaggy inherits an old Southern estate from an uncle, he and his sleuthing hounds take a road trip. But they don't even make it to the mansion before the haunting starts. Amid headless horsemen, walking skeletons, and a menacing butler, Scooby, Scrappy, and Shaggy get majorly spooked.","Casey Kasem, Shaggy Rogers (voice), Jerry Houser, Meako (voice), Sorrell Booke, Sheriff Rufus Buzby, T.J. Buzby (voice), Don Messick, Scooby and Scrappy Doo (voice), Ronnie Schell, Freako (voice), Rob Paulsen, Shreako (voice)",Scooby-Doo! Meets the Boo Brothers, Released, English,103200000.0,844069514.2,US,9259,"When Shaggy inherits an old Southern estate from an uncle, he and his sleuthing hounds take a road trip. But they don't even make it to the mansion before the haunting starts. Amid headless horsemen, walking skeletons, and a menacing butler, Scooby, Scrappy, and Shaggy get majorly spooked.",en,74,6.5
79,My Stepmother Is an Alien,12/09/1988 ,57.0,"Comedy, Science Fiction","Trying to rescue her home planet from destruction, a gorgeous extraterrestrial named Celeste arrives on Earth and begins her scientific research. She woos quirky scientist Dr. Steve Mills, a widower with a young daughter. Before long, Celeste finds herself in love with Steve and her new life on Earth, where she experiences true intimacy for the first time. But when she loses sight of her mission, she begins to question where she belongs.","Dan Aykroyd, Steven Mills, Kim Basinger, Celeste Martin, Jon Lovitz, Ron Mills, Alyson Hannigan, Jessie Mills, Joseph Maher, Lucas Budlong, Seth Green, Fred Glass, Ann Prentiss, The Voice of the Bag (voice), Wesley Mann, Grady, Tony Jay, Council Chief",My Stepmother Is an Alien, Released, English,16000000.0,13854000.0,US,4956,"Trying to rescue her home planet from destruction, a gorgeous extraterrestrial named Celeste arrives on Earth and begins her scientific research. She woos quirky scientist Dr. Steve Mills, a widower with a young daughter. Before long, Celeste finds herself in love with Steve and her new life on Earth, where she experiences true intimacy for the first time. But when she loses sight of her mission, she begins to question where she belongs.",en,279,5.5
80,Miracles,06/15/1989 ,70.0,"Crime, Action, Comedy, Drama",A country boy becomes the head of a gang through the purchase of some lucky roses from an old lady. He and a singer at the gang's nightclub try to do a good deed for the old lady when her daughter comes to visit.,"Jackie Chan, Kuo Chen-Wah, Anita Mui, Yang Luming / Rose, Gua Ah-leh, Madam Kao, Richard Ng, Chief inspector Ho, Ko Chun-Hsiung, Tiger Lo, Sunny Fang Kang, Boss Pai, Bill Tung, Tung, Tien Feng, Ku Hsin-Chuan, Ngai Jan, Mr Ku's son", 奇蹟, Released, Cantonese,35858040.0,34036029.0,US,5514,"When college coach Herb Brooks is hired to helm the 1980 U.S. men's Olympic hockey team, he brings a unique and brash style to the ice. After assembling a team of hot-headed college all-stars, who are humiliated in an early match, Brooks unites his squad against a common foe: the heavily-favored Soviet team.",en,332,7.1
81,Boo 2! A Madea Halloween,01/13/2018 ,57.0,"Horror, Comedy","Madea and the gang encounter monsters, goblins and boogeymen at a haunted campground.","Tyler Perry, Madea/Joe/Brian, Cassi Davis, Aunt Bam, Diamond White, Tiffany, Yousef Erakat, Jonathan, Hannah Stocking, Anna, Inanna Sarkis, Gabriella, Patrice Lovely, Hattie, Brock O'Hurn, Horse, Lexy Panterra, Leah",Boo 2! A Madea Halloween, Released, English,25000000.0,48333932.0,AU,7608,"Madea winds up in the middle of mayhem when she spends a hilarious, haunted Halloween fending off killers, paranormal poltergeists, ghosts, ghouls, and zombies while keeping a watchful eye on a group of misbehaving teens.",en,302,5.4
82,Love Wedding Repeat,04/10/2020 ,57.0,"Comedy, Romance","While trying to make his sister's wedding day go smoothly, Jack finds himself juggling an angry ex-girlfriend, an uninvited guest with a secret, a misplaced sleep sedative, and the girl that got away in alternate versions of the same day.","Sam Claflin, Jack, Olivia Munn, Dina, Eleanor Tomlinson, Hayley, Freida Pinto, Amanda, Joel Fry, Bryan, Jack Farthing, Marc, Allan Mustafa, Chaz, Tim Key, Sidney, Aisling Bea, Rebecca",Love Wedding Repeat, Released, English,128000000.0,419965614.6,GB,1233,Troubles arise for a man when he is abruptly reunited with an old flame at his sister’s wedding.,en,0,0.0
